subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	0	1	33.554813771	131.054813771	2.63482818058	0.1	97.5	2
1	1	2	38.174036898	45.674036898	1.66844939033	-0.1	7.5	2
1	0	-1	-20.7100893918	136.789910608	2.46807359509	-0.1	157.5	2
1	1	1	13.3544580396	20.8544580396	2.25164940583	0.4	7.5	1
1	1	1	0.0205656028969	67.5205656029	1.71838003133	-0.1	67.5	1
1	1	2	-9.79061004264	42.7093899574	1.73506641883	0.4	52.5	2
1	1	1	11.8160275199	4.31602751987	2.55143016533	-0.1	172.5	1
1	1	1	13.5273733851	126.027373385	2.16837432409	-0.1	112.5	1
1	0	2	1.7894068625	129.289406863	2.20153349109	-0.1	127.5	1
1	0	2	12.6944289077	140.194428908	2.01828285822	0.1	127.5	1
1	0	2	21.1980473274	43.6980473274	2.88471483733	0.1	22.5	1
1	0	1	-7.96554491946	149.534455081	2.36819478283	0.1	157.5	2
1	1	1	8.47102193108	135.971021931	2.25163157409	0.1	127.5	1
1	0	2	-12.220136931	40.279863069	2.23493797258	-0.1	52.5	1
1	1	2	0.630102354156	53.1301023542	3.73431704721	0.1	52.5	2
1	1	2	-19.0650511771	153.434948823	2.20167595509	-0.1	172.5	2
1	0	2	7.5	45.0	1.91829151509	-0.1	37.5	1
1	1	1	-6.1360724684	91.3639275316	2.33485384833	0.4	97.5	1
1	1	1	-17.5607844579	49.9392155421	4.71733910783	0.1	67.5	1
1	1	2	-4.77368900609	137.726310994	2.41810641196	0.4	142.5	2
1	0	1	-8.44539590092	74.0546040991	2.05169681783	0.4	82.5	2
1	0	-1	-34.7072976343	92.7927023657	2.71812205209	-0.1	127.5	1
1	1	2	-0.971144633015	126.528855367	2.21831094496	0.1	127.5	2
1	0	1	9.69573393471	122.195733935	2.13499381109	0.4	112.5	2
1	1	2	3.86541512255	161.365415123	3.58431725396	0.4	157.5	2
1	0	2	-2.05966796899	50.440332031	2.35153736145	0.1	52.5	1
1	1	2	10.405242923	77.905242923	2.86797871245	0.1	67.5	2
1	1	2	-20.5724869359	61.9275130641	2.70150308733	-0.1	82.5	2
1	0	2	-0.657226587369	141.842773413	2.58471105896	0.1	142.5	1
1	0	2	-71.1522227803	131.34777722	2.30154201345	0.4	22.5	1
1	0	1	6.88901146632	29.3890114663	2.76810588258	0.1	22.5	2
1	0	1	-15.4987324425	52.0012675575	2.65153831445	0.1	67.5	2
1	0	2	-5.09729586864	62.4027041314	4.28408149909	0.1	67.5	1
1	0	2	8.31570575173	165.815705752	2.08526000745	0.4	157.5	1
1	0	-1	10.2995312726	122.799531273	2.06822099458	0.1	112.5	1
1	0	1	-23.4637565321	59.0362434679	2.05166657745	0.1	82.5	2
1	1	2	-6.28159723565	31.2184027643	3.00132857809	0.4	37.5	2
1	0	1	6.53624346793	14.0362434679	2.30166320896	-0.1	7.5	2
1	0	1	-2.48688624496	140.013113755	2.33486291196	0.4	142.5	2
1	0	2	44.001434324	156.501434324	1.88499663533	0.4	112.5	1
1	0	2	12.1951535312	124.695153531	3.23450009071	0.1	112.5	1
1	1	1	1.7894068625	174.289406863	2.76807117296	0.1	172.5	1
1	1	1	14.0014411205	126.501441121	2.41833208458	0.1	112.5	1
1	1	2	6.49491399475	133.994913995	2.33485026558	0.4	127.5	2
1	0	2	-27.5952311919	69.9047688081	2.51810796609	-0.1	97.5	1
1	1	1	5.2542574341	87.7542574341	2.41817560058	0.1	82.5	1
1	0	1	7.5	0.0	2.55141859945	0.1	172.5	2
1	0	1	-15.4542308751	52.0457691249	2.05179359609	-0.1	67.5	2
1	0	1	-11.076334375	41.423665625	2.90134430558	0.4	52.5	2
1	0	2	2.70112364548	25.2011236455	2.45149582209	-0.1	22.5	1
1	0	1	6.63194855025	134.13194855	2.70138530745	0.4	127.5	2
1	1	2	8.68920625703	16.189206257	3.45109309783	0.1	7.5	2
1	1	2	6.69109654902	14.191096549	2.10163186633	0.4	7.5	2
1	0	2	-2.50797980144	34.9920201986	3.18456653645	0.4	37.5	1
1	1	1	18.5564129802	56.0564129802	2.45149284958	0.4	37.5	1
